Date,Open,High,Low,Close
2017-11-28,1.3317,1.3385,1.3222,1.3339
2017-11-29,1.3351,1.3446,1.3341,1.341
2017-11-30,1.3409,1.3549,1.3407,1.3529
2017-12-01,1.3526,1.355,1.3446,1.3478
2017-12-04,1.3478,1.3539,1.3414,1.3478
2017-12-05,1.3477,1.3483,1.3373,1.3442
2017-12-06,1.3443,1.3447,1.3358,1.3394
2017-12-07,1.3392,1.3486,1.332,1.3475
2017-12-08,1.3476,1.352,1.3356,1.3384
2017-12-11,1.3384,1.3428,1.333,1.3339
2017-12-12,1.3341,1.3378,1.3304,1.3317
2017-12-13,1.3315,1.3429,1.3311,1.3419
2017-12-14,1.3418,1.3466,1.338,1.343
2017-12-15,1.3432,1.3448,1.3303,1.3322
2017-12-18,1.3322,1.3419,1.331,1.3383
2017-12-19,1.3381,1.3402,1.3331,1.3385
2017-12-20,1.3387,1.342,1.3371,1.3375
2017-12-21,1.3373,1.3388,1.3334,1.3385
2017-12-22,1.3386,1.3398,1.3342,1.3363
2017-12-25,1.3363,1.3395,1.336,1.3371
2017-12-26,1.337,1.339,1.3347,1.3374
2017-12-27,1.3375,1.343,1.3367,1.3401
2017-12-28,1.3399,1.3458,1.3394,1.3442
2017-12-29,1.3441,1.3544,1.3429,1.3513
2018-01-01,1.3513,1.3522,1.3473,1.3502
2018-01-02,1.3505,1.3601,1.3496,1.3589
2018-01-03,1.3588,1.3614,1.3494,1.3516
2018-01-04,1.3517,1.356,1.3505,1.3552
2018-01-05,1.355,1.3582,1.3523,1.3569
2018-01-08,1.3569,1.3586,1.3524,1.3568
2018-01-09,1.357,1.3583,1.3508,1.3539
2018-01-10,1.3541,1.3562,1.3482,1.3508
2018-01-11,1.3506,1.3555,1.3458,1.3539
2018-01-12,1.354,1.3744,1.3534,1.3727
2018-01-15,1.3727,1.382,1.3727,1.3794
2018-01-16,1.3792,1.3806,1.3742,1.379
2018-01-17,1.3792,1.3942,1.3757,1.383
2018-01-18,1.3832,1.3911,1.3805,1.3895
2018-01-19,1.3893,1.3945,1.3842,1.3853
2018-01-22,1.3853,1.3991,1.3853,1.3987
2018-01-23,1.3988,1.4027,1.3917,1.4
2018-01-24,1.3994,1.4263,1.3994,1.4238
2018-01-25,1.424,1.4342,1.4083,1.4139
2018-01-26,1.414,1.4284,1.4108,1.416
2018-01-29,1.416,1.416,1.4026,1.4075
2018-01-30,1.4073,1.4166,1.398,1.4149
2018-01-31,1.4151,1.423,1.4124,1.4191
2018-02-01,1.419,1.4279,1.4159,1.4261
2018-02-02,1.4262,1.4277,1.4103,1.4119
2018-02-05,1.4119,1.4151,1.3954,1.3954
2018-02-06,1.3959,1.3999,1.384,1.395
2018-02-07,1.3952,1.3993,1.3849,1.3882
2018-02-08,1.3883,1.4064,1.3846,1.3914
2018-02-09,1.3911,1.3987,1.3765,1.383
2018-02-12,1.383,1.3876,1.3797,1.3837
2018-02-13,1.3838,1.3925,1.3832,1.3894
2018-02-14,1.3893,1.4016,1.38,1.4001
2018-02-15,1.4,1.4104,1.3995,1.41
2018-02-16,1.4098,1.4145,1.3967,1.4033
2018-02-19,1.4033,1.405,1.3958,1.3999
2018-02-20,1.4,1.4025,1.3931,1.3997
2018-02-21,1.3995,1.401,1.3905,1.3919
2018-02-22,1.3917,1.3983,1.3857,1.3957
2018-02-23,1.3962,1.4006,1.3909,1.3969
2018-02-26,1.3969,1.407,1.393,1.3966
2018-02-27,1.3968,1.3997,1.386,1.3908
2018-02-28,1.391,1.3916,1.3757,1.3761
2018-03-01,1.3758,1.3785,1.3712,1.3777
2018-03-02,1.3776,1.3817,1.3756,1.3802
2018-03-05,1.3802,1.3877,1.3767,1.3846
2018-03-06,1.385,1.3929,1.3817,1.3888
2018-03-07,1.3886,1.3912,1.3846,1.3903
2018-03-08,1.3901,1.391,1.3783,1.3812
2018-03-09,1.381,1.3888,1.3788,1.3848
2018-03-12,1.3848,1.3918,1.3841,1.3907
2018-03-13,1.3905,1.3994,1.3874,1.3962
2018-03-14,1.3961,1.3997,1.3926,1.3961
2018-03-15,1.3962,1.3988,1.3923,1.3936
2018-03-16,1.3937,1.398,1.3889,1.3944
2018-03-19,1.3944,1.4088,1.3913,1.4025
2018-03-20,1.4024,1.4067,1.3983,1.3999
2018-03-21,1.3998,1.4151,1.3996,1.414
2018-03-22,1.4142,1.4211,1.4078,1.4096
2018-03-23,1.4095,1.4172,1.4085,1.4133
2018-03-26,1.4133,1.4245,1.4133,1.423
2018-03-27,1.4227,1.4244,1.4066,1.4159
2018-03-28,1.4158,1.4201,1.407,1.4076
2018-03-29,1.4035,1.4096,1.4011,1.4018
2018-03-30,1.402,1.4061,1.4012,1.4017
2018-04-02,1.4017,1.4078,1.4017,1.4045
2018-04-03,1.4043,1.4089,1.4021,1.4057
2018-04-04,1.4056,1.4097,1.4015,1.4079
2018-04-05,1.4078,1.4097,1.3966,1.4004
2018-04-06,1.4002,1.4103,1.3983,1.4089
2018-04-09,1.4089,1.4163,1.4079,1.413
2018-04-10,1.4131,1.4188,1.412,1.4177
2018-04-11,1.4176,1.4223,1.4161,1.4178
2018-04-12,1.4175,1.4247,1.4145,1.4227
2018-04-13,1.4226,1.4296,1.4221,1.4239
2018-04-16,1.4239,1.4345,1.4237,1.4338
2018-04-17,1.4339,1.4377,1.4282,1.429
2018-04-18,1.4288,1.4315,1.4173,1.4205
2018-04-19,1.4202,1.4246,1.4071,1.4082
2018-04-20,1.4083,1.4091,1.3996,1.3999
2018-04-23,1.3999,1.4031,1.3926,1.3939
2018-04-24,1.3941,1.3987,1.3918,1.3978
2018-04-25,1.3979,1.3997,1.3923,1.393
2018-04-26,1.3932,1.3998,1.3896,1.3915
2018-04-27,1.3916,1.3935,1.3749,1.3784
2018-04-30,1.3784,1.3793,1.3714,1.3765
2018-05-01,1.3764,1.3774,1.3588,1.3612
2018-05-02,1.3613,1.3666,1.3555,1.3572
2018-05-03,1.3582,1.363,1.3538,1.3573
2018-05-04,1.3574,1.3587,1.3487,1.3532
2018-05-07,1.3532,1.3576,1.3515,1.3555
2018-05-08,1.3557,1.3592,1.3484,1.3546
2018-05-09,1.3548,1.3607,1.3499,1.3547
2018-05-10,1.3545,1.3618,1.346,1.3519
2018-05-11,1.3517,1.3595,1.3502,1.3542
2018-05-14,1.3542,1.3608,1.3542,1.3556
2018-05-15,1.3555,1.3573,1.3451,1.3505
2018-05-16,1.3502,1.3522,1.3456,1.349
2018-05-17,1.3489,1.3569,1.3474,1.3516
2018-05-18,1.3515,1.3528,1.3455,1.3466
2018-05-21,1.3466,1.3477,1.3391,1.3426
2018-05-22,1.3424,1.3489,1.3412,1.3432
2018-05-23,1.3431,1.3443,1.3305,1.3348
2018-05-24,1.3349,1.3422,1.3338,1.3379
2018-05-25,1.3381,1.339,1.3294,1.3302
2018-05-28,1.3302,1.3361,1.3296,1.3312
2018-05-29,1.331,1.3326,1.3205,1.3253
2018-05-30,1.3252,1.3307,1.3242,1.3283
2018-05-31,1.3287,1.3348,1.3277,1.3295
2018-06-01,1.3296,1.3363,1.3254,1.335
2018-06-04,1.335,1.3399,1.3295,1.3312
2018-06-05,1.3313,1.3409,1.3301,1.3395
2018-06-06,1.3393,1.3444,1.3385,1.3412
2018-06-07,1.3413,1.3472,1.3373,1.3421
2018-06-08,1.3422,1.3438,1.3354,1.3411
2018-06-11,1.3411,1.3441,1.3346,1.338
2018-06-12,1.3381,1.3425,1.3345,1.337
2018-06-13,1.3373,1.339,1.3308,1.3377
2018-06-14,1.3375,1.3446,1.3257,1.326
